Month/Year,Victim of the Conflict,Municipality,Reason for consultation,Previous complaints,Scene of Violence,Type of Violence,Remission,Entity to which it refers
November-2017,No,Galapa,PSYCHOLOGICAL,No,Others,Psychological,Psycho-Social,None
November-2017,No,Galapa,legal advice,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Prosecutor's office
November-2017,No,Soledad,legal advice,No,Does not apply,Does not apply,Psychological Orientation,None
November-2017,No,Soledad,PSYCHOLOGICAL ADVICE,No,VIF,Does not apply,Psychological Orientation,None
November-2017,No,Juan de Acosta,psychoLOGICAL counseling,No,VIF,Does not apply,Psychological Orientation,None
November-2017,No,Palmar de Varela,PSYCHO / LEGAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
November-2017,No,Soledad,PSYCHO / LEGAL,Yes,VIF,Psychological,Psychological Orientation,ICBF
November-2017,No,Barranquilla,PSYCHOLOGICAL,No,Does not apply,Does not apply,Psychological Orientation,ICBF
November-2017,No,Barranquilla,LEGAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
November-2017,No,Barranquilla,LEGAL,Yes,Others,Does not apply,Psycho-Legal,ICBF
November-2017,No,Barranquilla,LEGAL,Yes,VIF,Does not apply,None,None
November-2017,No,Malambo,PSYCHOLOGICAL,No,VIF,Does not apply,None,None
November-2017,No,Barranquilla,LEGAL,No,VIF,Does not apply,Legal advice,Police Inspection
November-2017,No,Soledad,LEGAL,Yes,VIF,Psychological,Psycho-Legal,Family commissary
November-2017,No,Barranquilla,LEGAL,YES,VIF,Does not apply,Social work,Prosecutor's office
November-2017,No,Barranquilla,LEGAL,Yes,VIF,Does not apply,Legal advice,Prosecutor's office
November-2017,No,Barranquilla,LEGAL,Yes,VIF,Psychological - Physical - Sexual,Psycho-Legal,Family commissary
November-2017,No,Barranquilla,LEGAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
November-2017,NO,Soledad,LEGAL,Yes,Does not apply,Does not apply,Legal advice,Family commissary
November-2017,No,Soledad,legal,No,Others,Psychological - Physical,Psychological Orientation,ICBF
November-2017,no,Soledad,legal,No,VIF,Psychological - Physical,Legal advice,None
December-2017,No,Barranquilla,legal,Yes,Others,Does not apply,Psychological Orientation,None
December-2017,No,Barranquilla,Legal advice,Yes,Does not apply,Psychological - Physical,Psychological Orientation,None
December-2017,No,Barranquilla,Psycho / legal,Yes,Others,Psychological,Psycho-Legal,Prosecutor's office
December-2017,No,Barranquilla,ORIETATION,Yes,VIF,Psychological,None,None
December-2017,No,Baranoa,legal advice house refuge,Yes,VIF,Psychological - Physical - Heritage,None,None
December-2017,No,Barranquilla,psychoLOGICAL counseling,No,VIF,Psychological,None,None
December-2017,No,Barranquilla,legal advice,No,VIF,Does not apply,None,Family commissary
December-2017,No,Baranoa,legal advice,No,Others,Does not apply,None,None
December-2017,No,Baranoa,legal advice,No,Others,Does not apply,None,Ombudsman's Office
December-2017,No,Baranoa,legal advice,no,Others,Does not apply,None,Ombudsman's Office
December-2017,No,Baranoa,legal advice,No,Others,Does not apply,None,None
December-2017,No,Barranquilla,legal advice,Yes,VIF,All of the above,Psycho-Legal,None
December-2017,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,None,None
December-2017,No,Barranquilla,LEGAL ADVICE,NO,VIF,Psychological,Legal advice,Family commissary
December-2017,No,Baranoa,psycho-legal advice,No,Does not apply,Psychological,Legal advice,None
December-2017,Yes,Barranquilla,legal advice,No,Does not apply,Does not apply,None,None
December-2017,No,Soledad,legal advice,Yes,VIF,Psychological - Patrimonial,Legal advice,Ombudsman's Office
December-2017,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Ombudsman's Office
December-2017,No,Sabanalarga,legal advice,No,Others,Does not apply,None,Family commissary
December-2017,No,Soledad,legal advice,Yes,Others,Psychological - Physical - Sexual,Legal advice,Ombudsman's Office
December-2017,No,Barranquilla,legal and psychological advice,No,Others,Psychological - Physical,Psychological Orientation,Police Inspection
December-2017,No,Soledad,Psychological,Yes,VIF,Psychological - Physical,Psychological Orientation,None
December-2017,No,Malambo,PSYCHOLOGICAL,Yes,Others,Does not apply,Psychological Orientation,None
December-2017,No,Galapa,legal,No,VIF,Psychological - Physical,Psychological Orientation,Family commissary
December-2017,No,Soledad,legal,Yes,VIF,Psychological - Physical,Psychological Orientation,Family commissary
December-2017,No,Barranquilla,legal,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
January-2018,No,Barranquilla,legal,No,VIF,Psychological - Physical,Psycho-Legal,Police Inspection
January-2018,No,Colombian Port,Psychological,No,VIF,Psychological - Physical,Psychological Orientation,None
January-2018,No,Barranquilla,LEGAL,Yes,VIF,Psychological - Physical - Heritage,Legal advice,None
January-2018,No,Barranquilla,Psychological,Yes,VIF,Psychological - Physical,None,None
January-2018,Yes,Barranquilla,legal,Yes,VIF,Psychological - Physical,Psychological Orientation,None
January-2018,No,Barranquilla,clinic visit,Yes,VIF,Psychological,Psycho-Legal,Prosecutor's office
January-2018,No,Barranquilla,Psycho-legal,No,VIF,Psychological - Patrimonial,Psycho-Legal,Family commissary
January-2018,No,Galapa,LEGAL,Yes,Others,Does not apply,Psycho-Legal,None
January-2018,No,Barranquilla,Psycho-legal,Yes,VIF,Psychological,Psychological Orientation,None
January-2018,No,Barranquilla,legal,Yes,Others,Psychological - Physical,Social work,Family commissary
January-2018,No,Soledad,legal,Yes,Others,Does not apply,Legal advice,Ombudsman's Office
January-2018,No,Barranquilla,Psycho-legal,No,VIF,Psychological,Psycho-Legal,Family commissary
January-2018,Yes,Barranquilla,legal,No,VIF,Psychological,None,Family commissary
January-2018,No,Barranquilla,legal,Yes,VIF,Psychological,Legal advice,Prosecutor's office
March-2018,No,Soledad,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,None,None
January-2018,No,Soledad,Psycho-legal,Yes,VIF,Psychological - Physical,Psychological Orientation,Family commissary
January-2018,No,Soledad,legal,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
January-2018,No,Juan de Acosta,HOUSE REFUGE,Yes,VIF,Psychological,Legal advice,None
January-2018,No,Soledad,PSYCHOLOGICAL,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
January-2018,No,Barranquilla,legal,Yes,VIF,Psychological,Psycho-Legal,Family commissary
January-2018,No,Malambo,PSYCHOLOGICAL,No,VIF,Psychological,Psychological Orientation,Family commissary
January-2018,No,Soledad,legal,No,VIF,Psychological,None,Family commissary
January-2018,No,Soledad,psycho-legal,Yes,Others,Physical,None,None
January-2018,No,Barranquilla,psycho-legal,No,Others,Psychological - Physical - Heritage,None,Prosecutor's office
January-2018,No,Barranquilla,legal advice,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
January-2018,No,Soledad,legal advice,Yes,Does not apply,Does not apply,Legal advice,Family commissary
January-2018,No,Soledad,LEGAL ASE,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
January-2018,No,Barranquilla,LEGAL ASE,Yes,VIF,Psychological - Physical - Sexual,Psycho-Legal,Family commissary
January-2018,Yes,Soledad,LEGAL ASE,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,Ombudsman's Office
January-2018,No,Barranquilla,PSYCHOLOGICAL,No,Does not apply,Does not apply,None,None
January-2018,No,Malambo,Psychology,No,VIF,Psychological,None,None
February-2018,No,Soledad,Query,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
February-2018,No,Barranquilla,Psychological Orientation,No,Others,Does not apply,None,None
February-2018,No,Soledad,legal orientation,Yes,VIF,Psychological,None,None
February-2018,No,Barranquilla,legal advice,Yes,VIF,Psychological - Patrimonial,Legal advice,Family commissary
February-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
February-2018,No,Galapa,PSYCHOLOGICAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,None,None
February-2018,No,Soledad,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
February-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
February-2018,No,Barranquilla,Psycho-legal,Yes,VIF,Psychological - Sexual - Patrimonial,Psycho-Legal,None
February-2018,No,Barranquilla,Psycho-legal,No,Does not apply,Does not apply,Psycho-Legal,None
February-2018,No,BARRANQUILLA,VIF,No,VIF,Psychological - Physical,Psycho-Social,Family commissary
February-2018,No,malambo,psycho-legal,Yes,Others,Does not apply,Psycho-Legal,Ombudsman's Office
February-2018,No,Barranquilla,psychological orientation,No,Does not apply,Does not apply,Psychological Orientation,None
February-2018,No,Galapa,psychological orientation,No,VIF,Psychological - Patrimonial,Legal advice,Family commissary
February-2018,No,Tubará,LEGAL,Yes,Others,Does not apply,Legal advice,None
February-2018,No,Juan de Acosta,LEGAL ADVICE,Yes,VIF,Psychological - Patrimonial,Psychological Orientation,Family commissary
February-2018,Yes,Soledad,LEGAL,No,Others,Physical,Legal advice,Prosecutor's office
February-2018,No,Barranquilla,PSYCHOLOGICAL ORIENTATION,No,VIF,Psychological,Psychological Orientation,None
February-2018,No,Barranquilla,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
February-2018,No,Barranquilla,PSYCHOLOGICAL ORIENTATION,No,Does not apply,Does not apply,Psychological Orientation,None
February-2018,No,Barranquilla,PSYCHOLOGICAL GUIDANCE,No,Others,Psychological - Physical,Social work,Prosecutor's office
February-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological,Legal advice,Ombudsman's Office
February-2018,No,Barranquilla,PSYCHOLOGICAL GUIDANCE,No,VIF,Does not apply,Psychological Orientation,None
February-2018,No,Repelón,PSYCHOLOGICAL ORIENTATION,No,Does not apply,Does not apply,Psychological Orientation,None
February-2018,No,Repelón,psychological,Yes,Others,Sexual,Psychological Orientation,Prosecutor's office
February-2018,No,Repelón,LEGAL ADVICE,Yes,VIF,Physical - Heritage,Legal advice,Family commissary
February-2018,No,Galapa,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
February-2018,No,Galapa,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
February-2018,No,Galapa,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
February-2018,No,Barranquilla,LEGAL GUIDANCE,Yes,Others,Psychological - Sexual,Psychological Orientation,Prosecutor's office
February-2018,No,Juan de Acosta,Query,No,Others,Does not apply,Psychological Orientation,None
February-2018,No,Juan de Acosta,Query,No,Others,Does not apply,Psychological Orientation,None
February-2018,No,Repelón,PSYCHOLOGICAL ORIENTATION,No,VIF,Psychological,Psychological Orientation,None
February-2018,No,Barranquilla,PSYCHOLOGICAL ORIENTATION,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
February-2018,Yes,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Ombudsman's Office
February-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
February-2018,No,barranquilla,LEGAL ADVICE,No,VIF,Psychological - Patrimonial,Psycho-Legal,Family commissary
February-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Patrimonial,Psychological Orientation,None
February-2018,No,Barranquilla,PSYCHOJURICAL,No,VIF,Psychological - Physical - Sexual,Psycho-Legal,Family commissary
February-2018,No,Barranquilla,PSYCHOLOGICAL ORIENTATION,No,VIF,Psychological - Physical,Legal advice,Prosecutor's office
February-2018,No,Soledad,PSYCHOLOGICAL ORIENTATION,No,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
February-2018,No,Malambo,PSYCHOLOGICAL,No,Does not apply,Does not apply,None,None
February-2018,No,Soledad,LEGAL ADVICE,No,Does not apply,Psychological - Physical,Legal advice,Prosecutor's office
February-2018,No,Juan de Acosta,PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
February-2018,No,Juan de Acosta,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Ombudsman's Office
February-2018,No,Colombian Port,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
March-2018,No,Soledad,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,None,None
March-2018,No,Soledad,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,None,None
March-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
March-2018,No,Soledad,LEGAL CLEANING,Yes,VIF,Psychological - Physical - Sexual,Legal advice,None
March-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Patrimonial,None,None
March-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,None,None
March-2018,No,Soledad,PSYCHOJURICAL ASSOCIATION,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Ombudsman's Office
March-2018,No,Soledad,LEGAL ADVICE,Yes,VIF,All of the above,Legal advice,Family commissary
March-2018,No,Barranquilla,Psycho-legal,Yes,VIF,Psychological - Physical,Psycho-Legal,Family commissary
March-2018,No,Malambo,PSYCHOJURICAL,Yes,VIF,All of the above,Psychological Orientation,None
March-2018,No,Barranquilla,psycho-legal,Yes,VIF,Psychological - Physical,None,Ombudsman's Office
March-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,Does not apply,Psychological,Psychological Orientation,None
March-2018,No,Soledad,legal advice,Yes,VIF,Psychological - Physical - Sexual,Legal advice,None
March-2018,No,Barranquilla,LEGAL CLEANING,No,VIF,Psychological,Psycho-Legal,Family commissary
March-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,None
March-2018,No,Soledad,ASE.PSICO-JURID,No,VIF,Psychological - Physical,Psycho-Legal,None
March-2018,No,Soledad,Roast. psychological,No,VIF,Psychological - Patrimonial,None,None
March-2018,No,Barranquilla,Query,Yes,VIF,Physical,Legal advice,Ombudsman's Office
March-2018,No,Baranoa,LEGAL,YES,Does not apply,Does not apply,Legal advice,Ombudsman's Office
March-2018,No,Barranquilla,legal advice,Yes,VIF,Psychological - Physical,Legal advice,None
March-2018,No,Soledad,PSYCHOLOGICAL ASSESSMENT,No,Does not apply,Does not apply,Psycho-Social,None
March-2018,No,Soledad,LEGAL AND PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psycho-Legal,Family commissary
March-2018,No,Soledad,LEGAL AND PSYCHOLOGICAL ADVICE,No,VIF,Physical - Sexual,Psycho-Legal,Family commissary
March-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
March-2018,No,Barranquilla,Psychological counseling,Yes,VIF,Psychological - Physical - Heritage,Legal advice,None
March-2018,No,Soledad,Query,Yes,Others,Sexual,None,None
March-2018,No,Barranquilla,LEGAL ADVICE,No,Others,Does not apply,Legal advice,Family commissary
March-2018,No,Soledad,LEGAL ADVICE,No,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
March-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
March-2018,no,Barranquilla,Legal advice,Yes,Others,Physical,Psycho-Legal,Ombudsman's Office
March-2018,No,Baranoa,Legal advice,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Family commissary
March-2018,No,Malambo,Legal advice,No,Others,Does not apply,None,Prosecutor's office
March-2018,No,Barranquilla,legal advice,Yes,Does not apply,Physical,Legal advice,Ombudsman's Office
March-2018,No,Soledad,Legal advice,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
March-2018,No,Soledad,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psychological Orientation,None
March-2018,Yes,Soledad,legal advice,No,Does not apply,Psychological - Patrimonial,Legal advice,Ombudsman's Office
April-2018,No,Barranquilla,legal advice,Yes,Does not apply,Psychological - Patrimonial,Legal advice,Family commissary
April-2018,No,Barranquilla,Psychological counseling,Yes,VIF,Psychological - Physical,None,None
April-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,Yes,VIF,Psychological - Physical,Psychological Orientation,None
April-2018,No,Galapa,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
April-2018,Yes,Sabanalarga,Housewife,No,Does not apply,Does not apply,Psychological Orientation,None
April-2018,No,Barranquilla,Query,No,Does not apply,Does not apply,Psycho-Legal,Family commissary
April-2018,No,Barranquilla,Query,No,Does not apply,Does not apply,None,None
April-2018,NO,Galapa,Legal and psychological advice,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,None
April-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,Psychological Orientation,None
April-2018,No,Barranquilla,Legal advice,No,VIF,Psychological - Physical,Legal advice,Family commissary
April-2018,No,Malambo,LEGAL ADVICE,Yes,VIF,Psychological,Psycho-Legal,None
April-2018,No,Soledad,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,Prosecutor's office
April-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
April-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological,Psycho-Legal,None
April-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
April-2018,No,Galapa,LEGAL ADVICE,No,VIF,Physical,Psycho-Legal,Family commissary
April-2018,No,Soledad,psychological counseling,No,Does not apply,Does not apply,Psycho-Social,None
April-2018,No,Soledad,LEGAL AND PSYCHOLOGICAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
April-2018,No,Barranquilla,legal advice,No,VIF,Psychological - Physical,Legal advice,Prosecutor's office
April-2018,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
April-2018,No,Palmar de Varela,legal advice,No,Others,Patrimonial,None,None
April-2018,No,Barranquilla,legal advice,Yes,VIF,Psychological,Legal advice,Prosecutor's office
April-2018,No,Barranquilla,legal advice,Yes,Does not apply,Does not apply,None,Ombudsman's Office
April-2018,No,Barranquilla,psychological,No,Does not apply,Does not apply,None,None
April-2018,Yes,Soledad,Query,Yes,VIF,Psychological - Physical,Psycho-Legal,Ombudsman's Office
April-2018,No,Soledad,PSYCHOLOGICAL,No,Does not apply,Does not apply,None,None
April-2018,No,Malambo,LEGAL PSYCHO,No,Does not apply,Does not apply,Psycho-Legal,None
April-2018,No,Barranquilla,PSYCHOJURICAL,No,Does not apply,Does not apply,None,None
April-2018,No,Galapa,PSYCHOJURICAL,No,VIF,Does not apply,Psycho-Legal,None
April-2018,No,Galapa,PSYCHOJURICAL,No,VIF,Does not apply,Psycho-Legal,None
April-2018,Yes,Barranquilla,PSYCHOJURIDICAL,Yes,VIF,Psychological - Physical - Sexual,Legal advice,Police Inspection
April-2018,No,Colombian Port,PSYCHOJURIDICAL,YES,VIF,Psychological - Physical - Heritage,None,None
April-2018,Yes,Soledad,PSYCHOLOGICAL ADVICE,No,Others,Does not apply,None,None
April-2018,Yes,Barranquilla,LEGAL,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
April-2018,No,Barranquilla,PSYCHOJURIDICAL,No,VIF,Psychological - Patrimonial,Psycho-Legal,Family commissary
April-2018,No,Soledad,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,None,Family commissary
April-2018,No,Barranquilla,PSYCHO-LEGAL ADVICE,No,Does not apply,Does not apply,Psycho-Legal,Family commissary
April-2018,No,Barranquilla,psycho-legal advice,No,VIF,Psychological,None,None
April-2018,No,Barranquilla,psycho-legal advice,No,VIF,Psychological - Physical - Heritage,Psycho-Legal,Family commissary
April-2018,No,Barranquilla,psychosocial counseling,Yes,Others,Psychological - Physical,Psycho-Social,Prosecutor's office
April-2018,No,Soledad,legal advice,No,VIF,Psychological - Patrimonial,Legal advice,Family commissary
April-2018,No,Soledad,psychological counseling,Yes,VIF,Psychological,None,None
April-2018,No,Barranquilla,legal advice,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
April-2018,No,Malambo,legal advice,Yes,others,Does not apply,Legal advice,Ombudsman's Office
April-2018,No,Luruaco,ENTRY TO HOUSE REFUGE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,None
April-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psychological Orientation,None
April-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,Yes,Does not apply,Sexual,Psycho-Legal,Family commissary
April-2018,NO,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
April-2018,No,Barranquilla,psycho-legal advice,Yes,VIF,Psychological - Physical - Sexual,Psycho-Legal,Family commissary
April-2018,NO,Barranquilla,Legal advice,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
April-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Sexual,Legal advice,None
April-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Does not apply,Psychological Orientation,None
April-2018,No,Barranquilla,participate in course,No,VIF,Psychological - Sexual,None,None
April-2018,NO,Soledad,LEGAL ADVICE,YES,VIF,Psychological - Physical,Psycho-Legal,Family commissary
April-2018,NO,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
April-2018,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,Psycho-Legal,Police Inspection
April-2018,No,Galapa,PSYCHOLOGICAL ADVICE,No,VIF,Does not apply,Psychological Orientation,None
May-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,None,None
May-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,None,None
May-2018,No,Galapa,PSYCHOLOGICAL ADVICE,No,VIF,Psychological,None,None
May-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Psychological,Legal advice,Ombudsman's Office
May-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Psychological - Physical,None,None
May-2018,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
May-2018,No,Barranquilla,PSYCHO-LEGAL ADVICE,No,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
May-2018,No,Barranquilla,PSYCHO-LEGAL ADVICE,No,VIF,Psychological - Physical,Psycho-Legal,Family commissary
May-2018,No,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Police Inspection
May-2018,NO,Soledad,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Ombudsman's Office
May-2018,No,Barranquilla,PSYCHOLOGICAL,No,Others,Does not apply,Psychological Orientation,None
May-2018,No,Galapa,PSYCHOJURIDICAL ADVICE,Yes,VIF,Psychological,Psychological Orientation,Family commissary
May-2018,No,St Thomas,PSYCHOLOGICAL ADVICE,No,VIF,Psychological - Physical,Psycho-Legal,None
May-2018,No,Barranquilla,LEGAL PSYCHOLOGICAL ADVICE,Yes,VIF,Psychological - Physical - Sexual,Psycho-Legal,Prosecutor's office
May-2018,No,Barranquilla,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,None
May-2018,No,Barranquilla,Psychological counseling,Yes,VIF,Sexual,Psycho-Social,None
May-2018,No,Galapa,LEGAL ADVICE,Yes,VIF,Psychological,Legal advice,Prosecutor's office
May-2018,No,Soledad,PSYCHO LEGAL ADVICE,No,Does not apply,Does not apply,None,Family commissary
May-2018,No,Barranquilla,PSYCHOJURIDICAL ADVICE,No,Does not apply,Psychological - Patrimonial,Legal advice,Ombudsman's Office
May-2018,No,Barranquilla,Legal advice,Yes,VIF,Psychological - Physical - Heritage,Legal advice,Ombudsman's Office
May-2018,No,Soledad,Psychological counseling,Yes,VIF,Psychological - Physical,None,None
May-2018,No,Barranquilla,Psychological Counseling,No,VIF,Psychological - Physical,Psychological Orientation,Prosecutor's office
May-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
May-2018,No,Soledad,LEGAL ADVICE,No,VIF,Psychological - Physical,Legal advice,Family commissary
May-2018,No,Soledad,LEGAL,Yes,Others,Sexual,Legal advice,Prosecutor's office
May-2018,No,Galapa,PSYCHOLOGICAL,Yes,VIF,Psychological,Psychological Orientation,None
May-2018,No,Palmar de Varela,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,None
May-2018,No,Soledad,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
May-2018,No,Soledad,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
May-2018,No,Soledad,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
May-2018,No,Barranquilla,legal advice,Yes,VIF,Does not apply,Legal advice,None
May-2018,No,Soledad,PSYCHOLOGICAL ORIENTATION,No,VIF,Psychological - Physical,Psychological Orientation,None
May-2018,No,Soledad,LEGAL ADVICE,No,VIF,Psychological,Legal advice,None
May-2018,No,Galapa,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
May-2018,No,Galapa,PSYCHOLOGICAL ORIENTATION,No,VIF,Does not apply,Psychological Orientation,None
May-2018,No,Malambo,legal guidance,No,VIF,Psychological - Physical,Legal advice,Family commissary
May-2018,No,Barranquilla,LEGAL ADVICE,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
May-2018,No,Barranquilla,LEGAL ADVICE,No,Does not apply,Does not apply,Legal advice,Family commissary
May-2018,No,Juan de Acosta,PSYCHOLOGICAL ADVICE,No,Does not apply,Does not apply,Psychological Orientation,None
May-2018,No,Barranquilla,Psychological counseling,Yes,VIF,Psychological - Physical,None,Ombudsman's Office
May-2018,No,Barranquilla,Legal advice,Yes,Does not apply,Does not apply,None,Prosecutor's office
May-2018,No,Soledad,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Ombudsman's Office
May-2018,No,Barranquilla,Psycho-legal advice,Yes,Others,Psychological - Physical - Sexual,None,None
May-2018,No,Barranquilla,legal advice,No,Does not apply,Psychological,Legal advice,Family commissary
May-2018,No,Barranquilla,legal advice,No,VIF,Psychological - Physical - Heritage,Legal advice,Family commissary
June-2018,No,Galapa,PSYCHO / LEGAL,No,VIF,Psychological - Physical,Psycho-Legal,Prosecutor's office
June-2018,No,Barranquilla,PSYCHOJURICAL,No,Others,Psychological - Sexual,Psycho-Legal,Prosecutor's office
June-2018,No,Barranquilla,Legal advice,Yes,Does not apply,Does not apply,Legal advice,Ombudsman's Office
June-2018,No,Barranquilla,Legal advice,Yes,Others,Psychological - Sexual,Psycho-Legal,Ombudsman's Office
June-2018,No,Malambo,LEGAL ADVICE,YES,VIF,Psychological - Physical,Legal advice,Prosecutor's office
June-2018,Yes,Barranquilla,LEGAL ADVICE,No,VIF,Psychological,Legal advice,None
June-2018,No,Barranquilla,LEGAL ADVICE,Yes,VIF,Psychological - Physical,Legal advice,Family commissary
June-2018,No,Barranquilla,PSYCHOLOGICAL ADVICE,No,VIF,Does not apply,Psychological Orientation,None
June-2018,No,Soledad,PSYCHOSOCIAL COUNSELING,No,VIF,Psychological,Psychological Orientation,None
June-2018,No,Soledad,PSYCHOSOCIAL COUNSELING,Yes,VIF,Does not apply,Social work,None
June-2018,No,Laying,PSYCHO-LEGAL ADVICE,Yes,VIF,Does not apply,Legal advice,Family commissary
June-2018,No,Laying,PSYCHO-LEGAL ADVICE,Yes,Does not apply,Physical,Psycho-Legal,Ombudsman's Office
